,Team_1,Team_2,Winner,Winner_Pred,Margin,Run_Margin_pred,Wick_Margin_pred,Year
255,India,Australia,Australia,India,72 Runs,36 Runs,6 Wickets,2013
256,India,Australia,India,India,9 Wickets,37 Runs,6 Wickets,2013
257,India,Australia,Australia,India,4 Wickets,36 Runs,6 Wickets,2013
258,Bangladesh,New Zealand,Bangladesh,Bangladesh,43 Runs,30 Runs,5 Wickets,2013
259,India,Australia,India,India,6 Wickets,37 Runs,6 Wickets,2013
260,Pakistan,South Africa,South Africa,South Africa,1 Runs,43 Runs,6 Wickets,2013
261,Bangladesh,New Zealand,Bangladesh,Bangladesh,40 Runs,30 Runs,5 Wickets,2013
262,Pakistan,South Africa,Pakistan,South Africa,66 Runs,35 Runs,6 Wickets,2013
263,India,Australia,India,India,57 Runs,37 Runs,6 Wickets,2013
264,Bangladesh,New Zealand,Bangladesh,Bangladesh,4 Wickets,30 Runs,5 Wickets,2013
265,Pakistan,South Africa,South Africa,South Africa,68 Runs,43 Runs,6 Wickets,2013
266,Pakistan,South Africa,South Africa,South Africa,28 Runs,43 Runs,6 Wickets,2013
267,Pakistan,South Africa,South Africa,South Africa,117 Runs,43 Runs,6 Wickets,2013
268,Sri Lanka,New Zealand,New Zealand,Sri Lanka,4 Wickets,34 Runs,5 Wickets,2013
269,Sri Lanka,New Zealand,Sri Lanka,Sri Lanka,36 Runs,34 Runs,5 Wickets,2013
270,South Africa,Pakistan,Pakistan,South Africa,23 Runs,31 Runs,5 Wickets,2013
271,South Africa,Pakistan,Pakistan,South Africa,1 Runs,31 Runs,5 Wickets,2013
272,South Africa,Pakistan,South Africa,South Africa,4 Wickets,38 Runs,5 Wickets,2013
273,South Africa,India,South Africa,South Africa,141 Runs,76 Runs,6 Wickets,2013
274,South Africa,India,South Africa,South Africa,134 Runs,76 Runs,6 Wickets,2013
275,Pakistan,Sri Lanka,Pakistan,Pakistan,11 Runs,50 Runs,5 Wickets,2013
276,Pakistan,Sri Lanka,Sri Lanka,Pakistan,2 Wickets,39 Runs,4 Wickets,2013
277,Pakistan,Sri Lanka,Pakistan,Pakistan,113 Runs,50 Runs,5 Wickets,2013
278,Pakistan,Sri Lanka,Pakistan,Pakistan,8 Wickets,50 Runs,5 Wickets,2013
279,Pakistan,Sri Lanka,Sri Lanka,Pakistan,2 Wickets,39 Runs,4 Wickets,2013
280,Australia,England,Australia,Australia,6 Wickets,50 Runs,5 Wickets,2014
281,Australia,England,Australia,Australia,1 Runs,50 Runs,5 Wickets,2014
282,New Zealand,India,New Zealand,New Zealand,24 Runs,41 Runs,6 Wickets,2014
283,Australia,England,Australia,Australia,7 Wickets,50 Runs,5 Wickets,2014
284,New Zealand,India,New Zealand,New Zealand,15 Runs,41 Runs,6 Wickets,2014
285,Australia,England,England,Australia,57 Runs,37 Runs,5 Wickets,2014
286,Australia,England,Australia,Australia,5 Runs,50 Runs,5 Wickets,2014
287,New Zealand,India,New Zealand,New Zealand,7 Wickets,41 Runs,6 Wickets,2014
288,New Zealand,India,New Zealand,New Zealand,87 Runs,41 Runs,6 Wickets,2014
289,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,13 Runs,64 Runs,6 Wickets,2014
290,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,61 Runs,64 Runs,6 Wickets,2014
291,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,6 Wickets,64 Runs,6 Wickets,2014
292,Pakistan,Sri Lanka,Sri Lanka,Pakistan,12 Runs,38 Runs,4 Wickets,2014
293,Bangladesh,India,India,India,6 Wickets,67 Runs,6 Wickets,2014
294,Afghanistan,Pakistan,Pakistan,Pakistan,72 Runs,54 Runs,5 Wickets,2014
295,India,Sri Lanka,Sri Lanka,India,2 Wickets,94 Runs,5 Wickets,2014
296,Bangladesh,Afghanistan,Afghanistan,Afghanistan,32 Runs,56 Runs,4 Wickets,2014
297,India,Pakistan,Pakistan,India,1 Runs,55 Runs,6 Wickets,2014
298,Afghanistan,Sri Lanka,Sri Lanka,Sri Lanka,129 Runs,58 Runs,6 Wickets,2014
299,Bangladesh,Pakistan,Pakistan,Pakistan,3 Wickets,53 Runs,5 Wickets,2014
300,Afghanistan,India,India,India,8 Wickets,66 Runs,7 Wickets,2014
301,Bangladesh,Sri Lanka,Sri Lanka,Sri Lanka,3 Wickets,64 Runs,6 Wickets,2014
302,Pakistan,Sri Lanka,Sri Lanka,Pakistan,5 Wickets,38 Runs,4 Wickets,2014
303,England,Sri Lanka,England,Sri Lanka,81 Runs,67 Runs,7 Wickets,2014
304,England,Sri Lanka,Sri Lanka,Sri Lanka,157 Runs,57 Runs,7 Wickets,2014
305,England,Sri Lanka,England,Sri Lanka,10 Wickets,67 Runs,7 Wickets,2014
306,England,Sri Lanka,Sri Lanka,Sri Lanka,7 Runs,57 Runs,7 Wickets,2014
307,England,Sri Lanka,Sri Lanka,Sri Lanka,6 Wickets,57 Runs,7 Wickets,2014
308,Bangladesh,India,India,India,7 Wickets,67 Runs,6 Wickets,2014
309,Bangladesh,India,India,India,47 Runs,67 Runs,6 Wickets,2014
310,Sri Lanka,South Africa,South Africa,Sri Lanka,75 Runs,70 Runs,6 Wickets,2014
311,Sri Lanka,South Africa,Sri Lanka,Sri Lanka,87 Runs,72 Runs,7 Wickets,2014
312,Sri Lanka,South Africa,South Africa,Sri Lanka,82 Runs,70 Runs,6 Wickets,2014
